hora,minuto,temperatura em Celsius,pressão atmosférica em mmHg,local
00,00,15.0,760.0,Aracaju
01,00,16.0,760.0,Aracaju
02,00,10.0,760.0,Aracaju
03,00,20.0,760.0,Aracaju
04,00,20.0,760.0,Aracaju
05,00,20.0,760.0,Aracaju
06,00,20.0,760.0,Aracaju
07,00,20.0,760.0,Aracaju
08,00,4.0,760.0,Aracaju
09,00,20.0,760.0,Aracaju
10,00,20.0,760.0,Aracaju
00,00,5.0,760.0,Aracaju
01,00,26.5,760.0,Aracaju
02,00,27.4,760.0,Aracaju
03,00,28.2,760.0,Aracaju
04,00,3.5,760.0,Aracaju
05,00,28.5,760.0,Aracaju
06,00,28.5,760.0,Aracaju
07,00,28.5,760.0,Aracaju
08,00,28.5,760.0,Aracaju
09,00,28.5,760.0,Aracaju
10,00,28.5,760.0,Aracaju
00,00,20.0,760.0,Aracaju
01,00,20.0,760.0,Aracaju
02,00,20.0,760.0,Aracaju
03,00,20.0,760.0,Aracaju
04,00,20.0,760.0,Aracaju
05,00,20.0,760.0,Aracaju
06,00,20.0,760.0,Aracaju
07,00,20.0,760.0,Aracaju
08,00,20.0,760.0,Aracaju
09,00,20.0,760.0,Aracaju
10,00,20.0,760.0,Aracaju
00,00,25.0,760.0,Aracaju
01,00,26.5,760.0,Aracaju
02,00,27.4,760.0,Aracaju
03,00,28.2,760.0,Aracaju
04,00,29.5,760.0,Aracaju
05,00,28.5,760.0,Aracaju
06,00,28.5,760.0,Aracaju
07,00,28.5,760.0,Aracaju
08,00,28.5,760.0,Aracaju
09,00,28.5,760.0,Aracaju
10,00,28.5,760.0,Aracaju
00,00,20.0,760.0,Aracaju
01,00,20.0,760.0,Aracaju
02,00,20.0,760.0,Aracaju
03,00,20.0,760.0,Aracaju
04,00,20.0,760.0,Aracaju
05,00,20.0,760.0,Aracaju
06,00,20.0,760.0,Aracaju
07,00,20.0,760.0,Aracaju
08,00,20.0,760.0,Aracaju
09,00,20.0,760.0,Aracaju
10,00,20.0,760.0,Aracaju
00,00,25.0,760.0,Aracaju
01,00,26.5,760.0,Aracaju
02,00,27.4,760.0,Aracaju
03,00,28.2,760.0,Aracaju
04,00,29.5,760.0,Aracaju
05,00,28.5,760.0,Aracaju
06,00,28.5,760.0,Aracaju
07,00,28.5,760.0,Aracaju
08,00,28.5,760.0,Aracaju
09,00,28.5,760.0,Aracaju
10,00,28.5,760.0,Aracaju
00,00,20.0,760.0,Aracaju
01,00,20.0,760.0,Aracaju
02,00,20.0,760.0,Aracaju
03,00,20.0,760.0,Aracaju
04,00,20.0,760.0,Aracaju
05,00,20.0,760.0,Aracaju
06,00,20.0,760.0,Aracaju
07,00,20.0,760.0,Aracaju
08,00,20.0,760.0,Aracaju
09,00,20.0,760.0,Aracaju
10,00,20.0,760.0,Aracaju
00,00,25.0,760.0,Aracaju
01,00,26.5,760.0,Aracaju
02,00,27.4,760.0,Aracaju
03,00,28.2,760.0,Aracaju
04,00,29.5,760.0,Aracaju
05,00,28.5,760.0,Aracaju
06,00,28.5,760.0,Aracaju
07,00,28.5,760.0,Aracaju
08,00,28.5,760.0,Aracaju
09,00,28.5,760.0,Aracaju
10,00,28.5,760.0,Aracaju
00,00,20.0,760.0,Aracaju
01,00,20.0,760.0,Aracaju
02,00,20.0,760.0,Aracaju
03,00,20.0,760.0,Aracaju
04,00,20.0,760.0,Aracaju
05,00,20.0,760.0,Aracaju
06,00,20.0,760.0,Aracaju
07,00,20.0,760.0,Aracaju
08,00,20.0,760.0,Aracaju
09,00,20.0,760.0,Aracaju
10,00,20.0,760.0,Aracaju
00,00,25.0,760.0,Aracaju
